loc_rowid,pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,sy_dist
1,11 Com b,11 Com,2,1,326.03000000,1.290000,12.100,6165.60000,19.100000,0.231000,,,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],93.1846000
2,11 UMi b,11 UMi,1,1,516.21997000,1.530000,12.300,4684.81420,13.800000,0.080000,,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],125.3210000
3,14 And b,14 And,1,1,185.84000000,0.830000,12.900,1525.50000,3.900000,0.000000,,,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],75.4392000
4,14 Her b,14 Her,1,2,1773.40002000,2.930000,12.900,1481.08780,3.790000,0.370000,,,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],17.9323000
5,16 Cyg B b,16 Cyg B,3,1,798.50000000,1.660000,13.500,565.73740,1.260000,0.680000,,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],21.1397000
6,17 Sco b,17 Sco,1,1,578.38000000,1.450000,12.900,1373.01872,3.510000,0.060000,,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],124.9530000
7,18 Del b,18 Del,2,1,993.30000000,2.600000,12.500,3273.50000,9.210000,0.080000,,,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],76.2220000
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.000000,18.647,3000.00000,2.540000,,,1700,K7 V,4060.00,1.31,0.85,,,139.1350000
9,24 Boo b,24 Boo,1,1,30.35060000,0.190000,13.900,289.22530,0.592000,0.042000,,,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],95.9863000
10,24 Sex b,24 Sex,1,2,452.80000000,1.333000,13.400,632.46000,1.440000,0.090000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],72.0691000
11,24 Sex c,24 Sex,1,2,883.00000000,2.080000,13.900,273.32000,0.559000,0.290000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],72.0691000
12,2M0437 b,2M0437,1,1,,118.000000,13.000,1271.31363,3.180000,,,1450,M V,3100.00,0.84,0.17,0.010,[Fe/H],128.4840000
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84.000000,12.300,4131.79000,12.200000,,,,M5.5/M6,,,0.19,,,47.2000000
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52.000000,11.209,7786.50000,30.400000,,,1600,M3.5 V,3530.00,0.37,0.40,,,33.8281000
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156.000000,16.141,4417.83700,5.770000,,,,M6,3064.00,0.28,0.11,,,40.0896412
16,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15.000000,12.600,2383.60000,6.550000,,,,M8.5,2936.00,0.23,0.02,,,120.4239870
17,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55.000000,12.900,1589.15000,4.070000,,,1250,M8,2825.00,0.22,0.02,,,64.3080000
18,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,416.00000000,0.920000,13.400,603.87700,1.380000,,,,,10868.00,0.34,0.48,-0.092,[Fe/H],396.3320000
19,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,7336.50000000,,10.310,6657.48000,33.400000,0.260000,,2075,M8.5,2300.00,0.12,0.08,,,33.1156898
20,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230.000000,12.300,3972.87500,11.700000,,,,K7 V,4045.00,0.64,0.60,,,69.5737000
21,30 Ari B b,30 Ari B,4,1,335.10001000,0.990000,12.300,4392.41060,13.000000,0.290000,,,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],44.6570000
22,4 UMa b,4 UMa,1,1,269.30000000,0.870000,12.700,2256.50000,6.050000,0.432000,,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],73.4603000
23,42 Dra b,42 Dra,2,1,479.10000000,1.190000,13.000,1233.13000,3.080000,0.380000,,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],90.6545000
24,47 UMa b,47 UMa,1,3,1078.00000000,2.100000,13.200,804.08000,1.920000,0.032000,,,G0 V,5872.00,1.21,1.06,0.040,[M/H],13.7967000
25,47 UMa c,47 UMa,1,3,2391.00000000,3.600000,14.200,171.62100,0.329000,0.098000,,,G1 V,5872.00,1.21,1.06,0.040,[M/H],13.7967000
26,47 UMa d,47 UMa,1,3,14002.00000000,11.600000,13.500,521.22000,1.160000,0.160000,,,G0V,5872.00,1.21,1.06,0.040,[M/H],13.7967000
27,51 Eri b,51 Eri,3,1,11688.00000000,13.200000,13.400,635.66000,1.450000,0.450000,,700,F0 IV,7295.00,1.49,1.75,-0.027,[M/H],29.7575000
28,51 Peg b,51 Peg,1,1,4.23078500,0.052700,14.300,146.20180,0.275000,0.013000,,,G5V,5758.00,1.18,1.03,0.180,[M/H],15.4614000
29,55 Cnc b,55 Cnc,2,5,14.65160000,0.113400,13.900,263.97850,0.540000,0.000000,,700,K0 IV-V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
30,55 Cnc c,55 Cnc,2,5,44.39890000,0.237300,8.510,54.47380,0.486000,0.030000,,,G8V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
31,55 Cnc d,55 Cnc,2,5,5574.20000000,5.957000,13.000,1232.49300,3.080000,0.130000,,,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
32,55 Cnc e,55 Cnc,2,5,0.73654740,0.015440,1.875,7.99000,6.660000,0.050000,,1958,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],12.5855000
