pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist
11 Com b,11 Com,2,1,326.03000000,1.290000,12.100,6165.60000,19.100000,0.231000,4742.00,2.70,-0.350,93.1846000
11 UMi b,11 UMi,1,1,516.21997000,1.530000,12.300,4684.81420,13.800000,0.080000,4213.00,2.78,-0.020,125.3210000
14 And b,14 And,1,1,185.84000000,0.830000,12.900,1525.50000,3.900000,0.000000,4813.00,2.20,-0.240,75.4392000
14 Her b,14 Her,1,2,1773.40002000,2.930000,12.900,1481.08780,3.790000,0.370000,5338.00,0.90,0.410,17.9323000
16 Cyg B b,16 Cyg B,3,1,798.50000000,1.660000,13.500,565.73740,1.260000,0.680000,5750.00,1.08,0.060,21.1397000
17 Sco b,17 Sco,1,1,578.38000000,1.450000,12.900,1373.01872,3.510000,0.060000,4157.00,1.22,-0.010,124.9530000
18 Del b,18 Del,2,1,993.30000000,2.600000,12.500,3273.50000,9.210000,0.080000,4979.00,2.30,-0.052,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.000000,18.647,3000.00000,2.540000,,4060.00,0.85,,139.1350000
24 Boo b,24 Boo,1,1,30.35060000,0.190000,13.900,289.22530,0.592000,0.042000,4893.00,0.99,-0.770,95.9863000
24 Sex b,24 Sex,1,2,452.80000000,1.333000,13.400,632.46000,1.440000,0.090000,5098.00,1.54,-0.030,72.0691000
24 Sex c,24 Sex,1,2,883.00000000,2.080000,13.900,273.32000,0.559000,0.290000,5098.00,1.54,-0.030,72.0691000
2M0437 b,2MASS J04372171+2651014,1,1,,118.000000,13.000,1271.31363,3.180000,,3100.00,0.17,0.010,128.4840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84.000000,12.300,4131.79000,12.200000,,,0.19,,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52.000000,11.209,7786.50000,30.400000,,3530.00,0.40,,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156.000000,16.141,4417.83700,5.770000,,3064.00,0.11,,40.0896412
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15.000000,12.600,2383.60000,6.550000,,2936.00,0.02,,120.4239870
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55.000000,12.900,1589.15000,4.070000,,2825.00,0.02,,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,416.00000000,0.920000,13.400,603.87700,1.380000,,10868.00,0.48,-0.092,396.3320000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,7336.50000000,,10.310,6657.48000,33.400000,0.260000,2300.00,0.08,,33.1156898
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230.000000,12.300,3972.87500,11.700000,,4045.00,0.60,,69.5737000
30 Ari B b,30 Ari B,4,1,335.10001000,0.990000,12.300,4392.41060,13.000000,0.290000,6331.00,1.93,0.190,44.6570000
4 UMa b,4 UMa,1,1,269.30000000,0.870000,12.700,2256.50000,6.050000,0.432000,4415.00,1.23,-0.250,73.4603000
42 Dra b,42 Dra,2,1,479.10000000,1.190000,13.000,1233.13000,3.080000,0.380000,4200.00,0.98,-0.460,90.6545000
47 UMa b,47 UMa,1,3,1078.00000000,2.100000,13.200,804.08000,1.920000,0.032000,5872.00,1.06,0.040,13.7967000
47 UMa c,47 UMa,1,3,2391.00000000,3.600000,14.200,171.62100,0.329000,0.098000,5872.00,1.06,0.040,13.7967000
47 UMa d,47 UMa,1,3,14002.00000000,11.600000,13.500,521.22000,1.160000,0.160000,5872.00,1.06,0.040,13.7967000
51 Eri b,51 Eri,3,1,11688.00000000,13.200000,13.400,635.66000,1.450000,0.450000,7295.00,1.75,-0.027,29.7575000
51 Peg b,51 Peg,1,1,4.23078500,0.052700,14.300,146.20180,0.275000,0.013000,5758.00,1.03,0.180,15.4614000
55 Cnc b,55 Cnc,2,5,14.65160000,0.113400,13.900,263.97850,0.540000,0.000000,5172.00,0.91,0.350,12.5855000
55 Cnc c,55 Cnc,2,5,44.39890000,0.237300,8.510,54.47380,0.486000,0.030000,5172.00,0.91,0.350,12.5855000
55 Cnc d,55 Cnc,2,5,5574.20000000,5.957000,13.000,1232.49300,3.080000,0.130000,5172.00,0.91,0.350,12.5855000
55 Cnc e,55 Cnc,2,5,0.73654740,0.015440,1.875,7.99000,6.660000,0.050000,5172.00,0.91,0.350,12.5855000
55 Cnc f,55 Cnc,2,5,259.88000000,0.770800,7.590,44.81200,0.563000,0.080000,5172.00,0.91,0.350,12.5855000
6 Lyn b,6 Lyn,1,1,934.30000000,2.110000,13.400,638.83830,1.460000,0.073000,4938.00,1.44,-0.130,54.6599000
61 Vir b,61 Vir,1,3,4.21500000,0.050201,2.110,5.10000,2.980000,0.120000,5577.00,0.94,-0.010,8.5033200
61 Vir c,61 Vir,1,3,38.02100000,0.217500,4.460,18.20000,1.130000,0.140000,5577.00,0.94,-0.010,8.5033200
61 Vir d,61 Vir,1,3,123.01000000,0.476000,5.110,22.90000,0.943000,0.350000,5577.00,0.94,-0.010,8.5033200
7 CMa b,7 CMa,1,2,735.10000000,1.758000,13.400,587.98550,1.340000,0.060000,4826.00,1.34,0.210,19.8101000
7 CMa c,7 CMa,1,2,996.00000000,2.153000,13.900,276.51210,0.566000,0.080000,4826.00,1.34,0.210,19.8101000
70 Vir b,70 Vir,1,1,116.68800000,0.481000,12.600,2380.45000,6.540000,0.398800,5495.00,1.09,-0.090,17.9011000
75 Cet b,75 Cet,2,1,691.90000000,2.100000,13.100,953.49000,2.330000,0.117000,4846.00,2.49,0.000,82.9613000
8 UMi b,8 UMi,1,1,93.40000000,0.490000,13.600,416.35730,0.910000,0.060000,4847.00,1.44,-0.030,162.5520000
81 Cet b,81 Cet,1,1,952.70000000,2.500000,12.800,1684.40000,4.410000,0.206000,4785.00,2.40,-0.060,101.2600000
91 Aqr b,91 Aqr,3,1,181.40000000,0.700000,13.100,1017.00000,2.490000,0.027000,4665.00,1.40,-0.030,44.0304000
AB Pic b,AB Pic,1,1,,260.000000,12.300,4290.50000,12.700000,,5285.00,0.90,0.040,50.0475000
AU Mic b,AU Mic,1,2,8.46300000,0.064500,4.070,17.00000,1.400000,0.000000,3700.00,0.50,,9.7221000
AU Mic c,AU Mic,1,2,18.85901900,0.110100,3.240,13.60000,2.300000,0.000000,3700.00,0.50,,9.7221000
BD+03 2562 b,BD+03 2562,1,1,481.90000000,1.300000,12.700,2034.11200,5.460000,0.200000,4095.00,1.14,-0.710,1070.6300000
BD+14 4559 b,BD+14 4559,1,1,268.94000000,0.780000,13.800,330.54320,0.691000,0.290000,4864.00,0.49,0.170,49.3520000
BD+15 2375 b,BD+15 2375,1,1,153.22000000,0.576000,13.800,337.21763,0.705000,0.001000,4649.00,1.08,-0.220,768.0450000
BD+15 2940 b,BD+15 2940,1,1,137.48000000,0.539000,13.700,352.78000,0.754000,0.260000,4796.00,1.10,0.280,426.4200000
BD+20 2457 b,BD+20 2457,1,2,379.63000000,1.050000,11.600,17668.16970,62.200000,0.150000,4259.00,10.83,-0.790,1539.7100000
BD+20 2457 c,BD+20 2457,1,2,621.99000000,2.010000,12.400,3963.17000,11.400000,0.180000,4137.00,2.80,-1.000,1539.7100000
BD+20 274 b,BD+20 274,1,1,578.20000000,1.300000,13.000,1334.88600,3.340000,0.210000,4296.00,0.80,-0.460,1322.5100000
BD+20 594 b,BD+20 594,1,1,41.68550000,0.241000,2.578,22.24810,7.890000,0.000000,5766.00,1.67,-0.150,179.4610000
BD+45 564 b,BD+45 564,1,1,307.88000000,0.830000,13.600,432.24663,0.944000,0.120000,5004.00,0.81,-0.090,53.6220000
BD+48 738 b,BD+48 738,1,1,392.60000000,1.000000,13.900,289.22530,0.592000,0.200000,4414.00,0.74,-0.200,871.4930000
BD+48 740 b,BD+48 740,1,1,733.00000000,1.700000,13.500,540.31100,1.210000,0.760000,4534.00,1.09,-0.130,666.5890000
