pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist,exo_class,exo_class_ext
11 Com b,11 Com,2,1,326.03,1.29,12.1,6165.6,19.1,0.231,4742.0,2.7,-0.35,93.1846,Gas giant,Gas giant
11 UMi b,11 UMi,1,1,516.21997,1.53,12.3,4684.8142,13.8,0.08,4213.0,2.78,-0.02,125.321,Gas giant,Gas giant
14 And b,14 And,1,1,185.84,0.83,12.9,1525.5,3.9,0.0,4813.0,2.2,-0.24,75.4392,Gas giant,Gas giant
14 Her b,14 Her,1,2,1773.40002,2.93,12.9,1481.0878,3.79,0.37,5338.0,0.9,0.41,17.9323,Gas giant,Gas giant
16 Cyg B b,16 Cyg B,3,1,798.5,1.66,13.5,565.7374,1.26,0.68,5750.0,1.08,0.06,21.1397,Gas giant,Gas giant
17 Sco b,17 Sco,1,1,578.38,1.45,12.9,1373.01872,3.51,0.06,4157.0,1.22,-0.01,124.953,Gas giant,Gas giant
18 Del b,18 Del,2,1,993.3,2.6,12.5,3273.5,9.21,0.08,4979.0,2.3,-0.052,76.222,Gas giant,Gas giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.0,18.647,3000.0,2.54,,4060.0,0.85,,139.135,Gas giant,Gas giant
24 Boo b,24 Boo,1,1,30.3506,0.19,13.9,289.2253,0.592,0.042,4893.0,0.99,-0.77,95.9863,Gas giant,Gas giant
24 Sex b,24 Sex,1,2,452.8,1.333,13.4,632.46,1.44,0.09,5098.0,1.54,-0.03,72.0691,Gas giant,Gas giant
24 Sex c,24 Sex,1,2,883.0,2.08,13.9,273.32,0.559,0.29,5098.0,1.54,-0.03,72.0691,Gas giant,Gas giant
2M0437 b,2MASS J04372171+2651014,1,1,,118.0,13.0,1271.31363,3.18,,3100.0,0.17,0.01,128.484,Gas giant,Gas giant
